Qty,Value,Device,Package,Parts,Description,MF,MPN
1,,LED-0402,LED-0402,D1,,Vishay,VLMO1500-GS08
0,NM,M05NO_SILK,1X05_NO_SILK,JP4,Not mounted,,
0,NM,M06NO_SILK_FEMALE_PTH,1X06_NO_SILK,"JP2, JP5",Not mounted,,
5,100n,CAP-0402,C0402,"C1, C2, C4, C5, C6",Ceramic Capacitors,,
1,10k,R-0402,R0402,R3,,,
0,32768hz,CRYSTAL-306010055,2P-L3.2XW1.5MM,Q1,Not mounted,,
1,330,R-0402,R0402,R4,,,
2,4k7,R-0402,R0402,"R1, R2",,,
2,56k,R-0402,R0402,"R5, R6",,,
1,4u7,CAP-0603,C0603,C3,Ceramic Capacitors,,
1,AT25DF512C-SSHN-B,AT25DF512C-SSHN-B,SO-08,IC2,"Flash 512K, 1.65V, 85Mhz Serial Flash",Adesto,AT25DF512C-SSHN-B
1,ATSHA204A,ATSHA204A,SOT23,IC4,,Atmel,ATSHA204A-STUCZ-T
0,NM,AVR-ISP-6VERT,AVR-ISP-6,JP3,Not mounted,,
1,MEGA328P-AU,MEGA48/88/168-AU,TQFP32-08,IC1,,Atmel,ATMEGA328P-AU
0,NM,PINHD-2X4,2X04,JP1,Not mounted,,
1,SI7021,SI7021,DFN6,IC3,,Silicon Labs,Si7021-A20-GM1
